Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    41672	     	     3518	     	        6
        0	     	        0	     	    41349	     	     2638	     	        1
        0	     	        0	     	    41687	     	     2726	     	        9
        0	     	        0	     	    41493	     	     2621	     	        4
        0	     	        0	     	    41382	     	     2654	     	        7
        0	     	        0	     	    41693	     	     2644	     	       11
        0	     	        0	     	     6054	     	     2662	     	        0
        0	     	        0	     	      840	     	     2555	     	        0
        0	     	        0	     	      982	     	     2498	     	        1
        0	     	        0	     	      731	     	     2701	     	        0
        0	     	        0	     	      731	     	     2687	     	        0
        0	     	        0	     	     1161	     	     2589	     	        0
        0	     	        0	     	    40228	     	     2651	     	        9
        0	     	        0	     	    41492	     	     2577	     	        8
        0	     	        0	     	    41427	     	     2636	     	        7
        0	     	        0	     	    41814	     	     2572	     	        7
        0	     	        0	     	    18615	     	     2520	     	        1
        0	     	        0	     	     1143	     	     2576	     	        0
        0	     	        0	     	     1162	     	     2486	     	        0
        0	     	        0	     	     1139	     	     2594	     	        0
        0	     	        0	     	    19497	     	     2613	     	        0
        0	     	        0	     	    41861	     	     2608	     	        3
        0	     	        0	     	    41610	     	     2589	     	        1
        0	     	        0	     	    41434	     	     2579	     	        8
        0	     	        0	     	    41636	     	     2552	     	        5
        0	     	        0	     	    41499	     	     2603	     	        7
        0	     	        0	     	    41582	     	     2553	     	        4
        0	     	        0	     	    41301	     	     2456	     	        5
        0	     	        0	     	    41531	     	     2456	     	        3
        0	     	        0	     	    41454	     	     2412	     	        7
        0	     	        0	     	    41275	     	     2419	     	        4
        0	     	        0	     	    41415	     	     2463	     	        6
        0	     	        0	     	    41151	     	     2425	     	        6
        0	     	        0	     	    41132	     	     2413	     	        9
        0	     	        0	     	    40884	     	     2434	     	        2
        0	     	        0	     	    41058	     	     2434	     	        5
        0	     	        0	     	    41506	     	     2366	     	        4
        0	     	        0	     	    41179	     	     2491	     	        3
        0	     	        0	     	    40926	     	     2452	     	        1
        0	     	        0	     	    41338	     	     2468	     	        3
        0	     	        0	     	    41517	     	     2367	     	        9
        0	     	        0	     	    41208	     	     1933	     	        2
        0	     	        0	     	    41394	     	     1835	     	        6
        0	     	        0	     	    41129	     	     1777	     	        4
        0	     	        0	     	    41362	     	     1777	     	        4
        0	     	        0	     	    41151	     	     1574	     	        3
        0	     	        0	     	    41477	     	     1594	     	        4
        0	     	        0	     	    40948	     	     1767	     	        0
        0	     	        0	     	    41623	     	     2013	     	        5
        0	     	        0	     	    40842	     	     2330	     	        4
        0	     	        0	     	    41727	     	     2544	     	        5
        0	     	        0	     	    41509	     	     2873	     	        7
        0	     	        0	     	    41450	     	     2998	     	        7
        0	     	        0	     	    41333	     	     3166	     	        4
        0	     	        0	     	    41281	     	     3393	     	       11
        0	     	        0	     	    41412	     	     3805	     	        8
        0	     	        0	     	    41019	     	     4056	     	       11
        0	     	        0	     	    41409	     	     4191	     	        9
        0	     	        0	     	    40954	     	     4591	     	       12
        0	     	        0	     	    41331	     	     4768	     	        8
        0	     	        0	     	    41115	     	     5740	     	       23
        0	     	        0	     	    41067	     	     5946	     	       18
        0	     	        0	     	    41127	     	     6571	     	       19
        0	     	        0	     	    41160	     	     6751	     	       16
        0	     	        0	     	    41546	     	     7378	     	       15
        0	     	        0	     	    41268	     	     8052	     	       30
        0	     	        0	     	    41566	     	     9311	     	       24
        0	     	        0	     	    41262	     	     9427	     	       19
        0	     	        0	     	    41655	     	    10677	     	       28
        0	     	        0	     	    41341	     	    11050	     	       31
        0	     	        0	     	    40906	     	    11395	     	       19
        0	     	        0	     	    41611	     	    12554	     	       29
        0	     	        0	     	    41078	     	    13476	     	       37
        0	     	        0	     	    41186	     	    14372	     	       41
        0	     	        0	     	    41744	     	    14992	     	       31
        0	     	        0	     	    41595	     	    15931	     	       34
        0	     	        0	     	    41369	     	    16469	     	       38
        0	     	        0	     	    41593	     	    17037	     	       43
        0	     	        0	     	    41940	     	    18267	     	       44
        0	     	        0	     	    41366	     	    18613	     	       47
        0	     	        0	     	    41561	     	    19876	     	       46
        0	     	        0	     	    41584	     	    19927	     	       50
        0	     	        0	     	    41189	     	    20394	     	       45
        0	     	        0	     	    41058	     	    21545	     	       49
        0	     	        0	     	    41070	     	    22076	     	       65
        0	     	        0	     	    41606	     	    23390	     	       62
        0	     	        0	     	    41651	     	    24598	     	       68
        0	     	        0	     	    41699	     	    25363	     	       74
        0	     	        0	     	    41558	     	    26459	     	       82
        0	     	        0	     	    41479	     	    27674	     	       81
        0	     	        0	     	    41056	     	    28652	     	       87
        0	     	        0	     	    41752	     	    28961	     	       92
        0	     	        0	     	    41567	     	    30319	     	       96
        0	     	        0	     	    41683	     	    30210	     	       95
        0	     	        0	     	    41403	     	    30303	     	       97
        0	     	        0	     	    41664	     	    31226	     	      110
        0	     	        0	     	    41502	     	    31132	     	      104
        0	     	        0	     	    41347	     	    31851	     	      122
        0	     	        0	     	    41367	     	    32275	     	      148
        0	     	        0	     	    41657	     	    32195	     	      117
        0	     	        0	     	    41228	     	    33239	     	      144
        0	     	        0	     	    41446	     	    33281	     	      157
        0	     	        0	     	    41101	     	    34141	     	      156
        0	     	        0	     	    41477	     	    34837	     	      181
        0	     	        0	     	    41363	     	    35935	     	      194
        0	     	        0	     	    41339	     	    36449	     	      194
        0	     	        0	     	    41715	     	    37173	     	      246
        0	     	        0	     	    41226	     	    37591	     	      255
        0	     	        0	     	    41355	     	    38709	     	      306
        0	     	        0	     	    41254	     	    39815	     	      381
        0	     	        0	     	    41652	     	    40330	     	      444
        0	     	        0	     	    41362	     	    41406	     	      551
        0	     	        0	     	    41635	     	    42423	     	      628
        0	     	        0	     	    41630	     	    43140	     	      886
